,genes,receptors,rho,pspin
0,HTR1A,5HT1a,0.7958747135217722,0.009299070092990702
1,HTR1B,5HT1b,0.15324675324675324,0.42505749425057493
2,HTR2A,5HT2a,0.16669213139801375,0.48965103489651035
3,HTR4,5HT4,0.44568372803666917,0.09929007099290071
4,HTR6,5HT6,-0.18899923605805957,0.33096690330966905
5,SLC6A4,5HTT,0.0615737203972498,0.7226277372262774
6,CHRNA2,A4B2,0.05332314744079449,0.8025197480251974
7,CHRNA3,A4B2,-0.2675324675324675,0.7781721827817218
8,CHRNA4,A4B2,0.4713521772345301,0.5581941805819418
9,CHRNA5,A4B2,0.36501145912910615,0.3475652434756525
10,CHRNA6,A4B2,0.5877769289533995,0.15233476652334765
11,CHRNA7,A4B2,0.2883116883116883,0.7615638436156384
12,CHRNA9,A4B2,-0.17524828113063406,0.7886211378862114
13,CHRNA10,A4B2,-0.13735676088617263,0.8025197480251974
14,CHRNB2,A4B2,-0.06310160427807486,0.8025197480251974
15,CHRNB3,A4B2,0.6345301757066463,0.09679032096790322
16,CHRNB4,A4B2,0.040183346065699004,0.8025197480251974
17,CNR1,CB1,0.7427043544690604,0.051994800519948
18,DRD1,D1,0.13827349121466767,0.49695030496950304
19,DRD2,D2,0.6990068754774637,0.038696130386961305
20,SLC6A3,DAT,0.280672268907563,0.18598140185981402
21,GABRA1,GABAa,0.2455309396485867,0.7970336299703363
22,GABRB2,GABAa,0.5254392666157373,0.38131901095604726
23,GABRG2,GABAa,0.15569136745607332,0.8054194580541946
24,GABRR3,GABAa,0.08938120702826584,0.8054194580541946
25,GABRD,GABAa,0.24186401833460655,0.7970336299703363
26,GABRR2,GABAa,-0.06799083269671503,0.8022785956698447
27,GABRR1,GABAa,-0.1019098548510313,0.7970336299703363
28,GABRG1,GABAa,-0.5391902215431627,0.38131901095604726
29,GABRA2,GABAa,-0.5578304048892284,0.38131901095604726
30,GABRA4,GABAa,0.13155080213903741,0.8022785956698447
31,GABRB1,GABAa,-0.5288006111535523,0.38131901095604726
32,GABRG3,GABAa,0.42368220015278835,0.38131901095604726
33,GABRA5,GABAa,-0.521772345301757,0.38131901095604726
34,GABRB3,GABAa,-0.36959511077158136,0.4147285271472853
35,GABRP,GABAa,-0.4609625668449197,0.38131901095604726
36,GABRA6,GABAa,0.24644766997708176,0.7970336299703363
37,GABRE,GABAa,-0.27425515660809774,0.778749397787494
38,GABRA3,GABAa,-0.4160427807486631,0.3947383039473831
39,GABRQ,GABAa,-0.46462948815889993,0.3947383039473831
40,HRH3,H3,0.628113063407181,0.13338666133386662
41,CHRM1,M1,0.6290297937356761,0.0016998300169983002
42,GRM5,mGluR5,0.3436210847975554,0.11858814118588142
43,OPRM1,MOR,0.8029029793735676,0.0017998200179982
44,SLC6A2,NET,-0.1361344537815126,0.523947605239476
45,SLC18A3,VAChT,0.12941176470588237,0.47325267473252675
